wallet,total_usd_value,eth_balance,has_cTokens,num_tokens
0x06b51c6882b27cb05e712185531c1f74996dd988,3.545745,0.0,1,3
0x0795732aacc448030ef374374eaae57d2965c16c,29.755084,26.223143,1,3
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,3.5448604,0.0,1,3
0x104ae61d8d487ad689969a17807ddc338b445416,3.66740923,0.14254883,1,3
0x111c7208a7e2af345d36b6d4aace8740d61a3078,0.0,0.0,1,3
0x124853fecb522c57d9bd5c21231058696ca6d596,9.3682076,5.828818,1,4
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,36.3986416,32.873234,1,3
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,26.273829,7.846829,1,3
0x19df3e87f73c4aaf4809295561465b993e102668,8909.94774026,4177.456,1,8
0x1ab2ccad4fc97c9968ea87d4435326715be32872,3.5374784,0.0,1,3
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,54.3930395,2.0396345,1,3
0x22d7510588d90ed5a87e0f838391aaafa707c34b,123.87753142051001,21.746168,1,21
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,21.562024,18.024868,1,3
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,22.0619755,17.35998,1,4
0x27f72a000d8e9f324583f3a3491ea66998275b28,3.5388346,0.0,1,3
0x2844658bf341db96aa247259824f42025e3bcec2,22.7832658,19.2595,1,3
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,3.5406835,0.0,1,3
0x3867d222ba91236ad4d12c31056626f9e798629c,49.083303,45.55883,1,3
0x3a44be4581137019f83021eeee72b7dc57756069,39.5946102,36.051533,1,3
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,56.570082,49.496895,1,3
0x4839e666e2baf12a51bf004392b35972eeddeabf,0.0,0.0,1,5
0x4c4d05fe859279c91b074429b5fc451182cec745,21.0405694,2.2980494,1,3
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,3.532154,0.0,1,3
0x4e61251336c32e4fe6bfd5fab014846599321389,3.524111,0.0,1,3
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,48.112813100000004,44.57117,1,4
0x54e19653be9d4143b08994906be0e27555e8834d,7.1375965e-08,0.0,1,3
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,6.389560400000001,2.8551316,1,3
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,4.35947506,0.0,1,4
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,7.8372087,4.304203,1,3
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,7.0389965,3.4994822,1,3
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,52.4151285,48.881023,1,3
0x6d69ca3711e504658977367e13c300ab198379f1,3.5397642,0.0,1,3
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,0.0,0.0,1,5
0x70c1864282599a762c674dd9d567b37e13bce755,3.5376503,0.0,1,3
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,42.5330158,39.00014,1,3
0x767055590c73b7d2aaa6219da13807c493f91a20,56.924958,53.386745,1,3
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,1.4326237,0.0,1,4
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,3.5370598,0.0,1,5
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,0.0,0.0,1,3
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,52.5825274,3.3013194,1,3
0x7de76a449cf60ea3e111ff18b28e516d89532152,54.632844,51.093533,1,3
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,49.5876368,46.06297,1,3
0x83ea74c67d393c6894c34c464657bda2183a2f1a,4.1921783,0.0,1,4
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,20.440692026,0.032086726,1,6
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,44.2382019,40.703743,1,3
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,3.5361848,0.0,1,3
0x880a0af12da55df1197f41697c1a1b61670ed410,0.0,0.0,1,5
0x8aaece100580b749a20f8ce30338c4e0770b65ed,3.6602528,0.1156454,1,3
0x8be38ea2b22b706aef313c2de81f7d179024dd30,0.62807318,0.07596614,1,6
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,56.310776499999996,52.774204,1,3
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,10.791690870000002,0.53739387,1,4
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,61.505447,2.657619,1,3
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,50.230139900000005,1.3026799,1,3
